H2AFV,H2AFV
NUSAP1,NUSAP1
FAM69A,DIPK1A
SRC,SRC
BMP4,BMP4
XPO7,XPO7
FAIM,FAIM
PXMP2,PXMP2
TIMM17B,TIMM17B
STXBP2,STXBP2
MNAT1,MNAT1
HPRT1,HPRT1
RRS1,RRS1
ADAT1,ADAT1
SCAND1,SCAND1
MFSD10,MFSD10
COPS7A,COPS7A
FIS1,FIS1
NUDT9,NUDT9
CSRP1,CSRP1
METRN,METRN
TCTA,TCTA
TLK2,TLK2
KIAA1033,WASHC4
DNAJB6,DNAJB6
TLR4,TLR4
HMGCS1,HMGCS1
SPRED2,SPRED2
MAP7,MAP7
CHAC1,CHAC1
GNAS,GNAS
TEX10,TEX10
ZNF586,ZNF586
IKZF1,IKZF1
APBB2,APBB2
RNF167,RNF167
EPHA3,EPHA3
TXNDC9,TXNDC9
VGLL4,VGLL4
CASP10,CASP10
YTHDF1,YTHDF1
LSM5,LSM5
ZMYM2,ZMYM2
CHMP6,CHMP6
CASP7,CASP7
PIGB,PIGB
CHEK2,CHEK2
ACD,ACD
SUPV3L1,SUPV3L1
GPATCH8,GPATCH8
TGFBR2,TGFBR2
NOTCH1,NOTCH1
SHC1,SHC1
ARPP19,ARPP19
RTN2,RTN2
NPEPL1,NPEPL1
SIRT3,SIRT3
UBQLN2,UBQLN2
DMTF1,DMTF1
CLPX,CLPX
TXNL4B,TXNL4B
PRR15L,PRR15L
ST6GALNAC2,ST6GALNAC2
ADH5,ADH5
GOLT1B,GOLT1B
PPOX,PPOX
CANT1,CANT1
HOMER2,HOMER2
CLTB,CLTB
PHKA1,PHKA1
CYCS,CYCS
MAP4K4,MAP4K4
PAN2,PAN2
PPIC,PPIC
EIF5,EIF5
GNAI1,GNAI1
TM9SF3,TM9SF3
CCDC86,CCDC86
SLC25A14,SLC25A14
TBXA2R,TBXA2R
FBXO11,FBXO11
HERPUD1,HERPUD1
RPL39L,RPL39L
BPHL,BPHL
MAPKAPK3,MAPKAPK3
MBOAT7,MBOAT7
PNKP,PNKP
SLC35A3,SLC35A3
LSR,LSR
MEF2C,MEF2C
KDM5A,KDM5A
FAM63A,MINDY1
RAB4A,RAB4A
IFRD2,IFRD2
BACE2,BACE2
LYN,LYN
ISOC1,ISOC1
DUSP3,DUSP3
MOK,MOK
PPP1R13B,PPP1R13B
DNAJB2,DNAJB2
CERK,CERK
LAP3,LAP3
MAPKAPK5,MAPKAPK5
HDGFRP3,HDGFL3
PRKCH,PRKCH
RAB21,RAB21
PSIP1,PSIP1
CREB1,CREB1
MBNL2,MBNL2
PACSIN3,PACSIN3
MTA1,MTA1
MACF1,MACF1
CCNA1,CCNA1
HIST1H2BK,HIST1H2BK
PCCB,PCCB
STAP2,STAP2
PMM2,PMM2
HSD17B11,HSD17B11
FBXL12,FBXL12
WDR61,WDR61
FAS,FAS
CENPE,CENPE
CREG1,CREG1
PRR7,PRR7
TMEM110,STIMATE
ZNF589,ZNF589
BAX,BAX
CNDP2,CNDP2
TNIP1,TNIP1
P4HTM,P4HTM
REEP5,REEP5
BZW2,BZW2
CGRRF1,CGRRF1
AMDHD2,AMDHD2
PEX11A,PEX11A
GFOD1,GFOD1
PECR,PECR
SOCS2,SOCS2
ZDHHC6,ZDHHC6
ITGAE,ITGAE
TMEM5,RXYLT1
ATP5S,DMAC2L
NGRN,NGRN
HOXA5,HOXA5
GRN,GRN
NUP85,NUP85
GTPBP8,GTPBP8
PTK2,PTK2
EPN2,EPN2
CCDC90A,MCUR1
KIAA0528,C2CD5
MRPS16,MRPS16
RPS5,RPS5
NOL3,NOL3
NR1H2,NR1H2
PLS1,PLS1
DUSP22,DUSP22
RPS6KA1,RPS6KA1
DCK,DCK
TRIM2,TRIM2
SNCA,SNCA
VPS28,VPS28
LRRC16A,CARMIL1
CHP,CHP1
NR2F6,NR2F6
EXOSC4,EXOSC4
PDLIM1,PDLIM1
CRELD2,CRELD2
RRP12,RRP12
ACAT2,ACAT2
THAP11,THAP11
CEBPD,CEBPD
MAST2,MAST2
DHDDS,DHDDS
GADD45B,GADD45B
KIAA0355,KIAA0355
DYNLT3,DYNLT3
CHMP4A,CHMP4A
IPO13,IPO13
ITFG1,ITFG1
SPP1,SPP1
HYOU1,HYOU1
FOS,FOS
MCOLN1,MCOLN1
ID2,ID2
KCNK1,KCNK1
AXIN1,AXIN1
RAI14,RAI14
DNAJC15,DNAJC15
HOXA10,HOXA10
CASP2,CASP2
CTNND1,CTNND1
ZNF131,ZNF131
HOOK2,HOOK2
ERBB2,ERBB2
INTS3,INTS3
RFNG,RFNG
MICALL1,MICALL1
KLHL21,KLHL21
TLE1,TLE1
FZD7,FZD7
COG2,COG2
MRPS2,MRPS2
KCTD5,KCTD5
CNPY3,CNPY3
ADAM10,ADAM10
CD58,CD58
KIF5C,KIF5C
HMG20B,HMG20B
PIN1,PIN1
LAGE3,LAGE3
TNFRSF21,TNFRSF21
KIF14,KIF14
DUSP6,DUSP6
CYB561,CYB561
HTRA1,HTRA1
WASF3,WASF3
TSPAN6,TSPAN6
FBXO21,FBXO21
PPP2R3C,PPP2R3C
ADRB2,ADRB2
GRB10,GRB10
MMP1,MMP1
ZW10,ZW10
CORO1A,CORO1A
XPNPEP1,XPNPEP1
MAMLD1,MAMLD1
DSG2,DSG2
SLC27A3,SLC27A3
CD97,ADGRE5
IL13RA1,IL13RA1
AGL,AGL
CDC25B,CDC25B
GATA3,GATA3
RPA3,RPA3
TES,TES
SPR,SPR
RELB,RELB
EPHB2,EPHB2
RPIA,RPIA
GPR56,ADGRG1
NVL,NVL
CHEK1,CHEK1
ME2,ME2
PDGFA,PDGFA
WDR67,TBC1D31
RFC2,RFC2
TIMM9,TIMM9
ORC1,ORC1
PARP2,PARP2
FASTKD5,FASTKD5
PTPLAD1,HACD3
MSRA,MSRA
SYNE2,SYNE2
UBE3C,UBE3C
CCDC92,CCDC92
CXCL2,CXCL2
TIMM22,TIMM22
ATF5,ATF5
NSDHL,NSDHL
ADI1,ADI1
ADCK3,COQ8A
GDPD5,GDPD5
TARBP1,TARBP1
RBKS,RBKS
KDM3A,KDM3A
BID,BID
MTF2,MTF2
HLA-DRA,HLA-DRA
PIK3C2B,PIK3C2B
SLC25A46,SLC25A46
CDK19,CDK19
KIAA0753,KIAA0753
KAT6B,KAT6B
CHN1,CHN1
MAPK13,MAPK13
UFM1,UFM1
GNA15,GNA15
IARS2,IARS2
GATA2,GATA2
RALGDS,RALGDS
NRIP1,NRIP1
CCNB2,CCNB2
RNPS1,RNPS1
SATB1,SATB1
ARID4B,ARID4B
GSTZ1,GSTZ1
SESN1,SESN1
SPEN,SPEN
PFKL,PFKL
PDHX,PDHX
DENND2D,DENND2D
CTTN,CTTN
UBR7,UBR7
GRB7,GRB7
CD44,CD44
VAV3,VAV3
ABHD6,ABHD6
MAPKAPK2,MAPKAPK2
CAB39,CAB39
TIAM1,TIAM1
DNM1L,DNM1L
DERA,DERA
PTPRK,PTPRK
HERC6,HERC6
MKNK1,MKNK1
ACOT9,ACOT9
ST3GAL5,ST3GAL5
CTNNAL1,CTNNAL1
ABHD4,ABHD4
INPP4B,INPP4B
ZMIZ1,ZMIZ1
PPARG,PPARG
RPP38,RPP38
CAST,CAST
BAG3,BAG3
GNA11,GNA11
TOR1A,TOR1A
SLC25A13,SLC25A13
TSPAN4,TSPAN4
NR3C1,NR3C1
TRIB3,TRIB3
PHF15,JADE2
CXCR4,CXCR4
FKBP14,FKBP14
CIAPIN1,CIAPIN1
COG7,COG7
TUBB6,TUBB6
ABL1,ABL1
CCNF,CCNF
HSPA1A,HSPA1A
FAM57A,TLCD3A
EVL,EVL
GPER,GPER1
EAPP,EAPP
EXT1,EXT1
POLE2,POLE2
PLCB3,PLCB3
C2CD2,C2CD2
ANKRD10,ANKRD10
DDX10,DDX10
CEP57,CEP57
RAB31,RAB31
ABCC5,ABCC5
RFC5,RFC5
HES1,HES1
KLHL9,KLHL9
UBE2J1,UBE2J1
SLC37A4,SLC37A4
PLK1,PLK1
NPRL2,NPRL2
PWP1,PWP1
PLEKHM1,PLEKHM1
VAT1,VAT1
KIF20A,KIF20A
CDH3,CDH3
SSBP2,SSBP2
SNX11,SNX11
SFN,SFN
RFX5,RFX5
PKIG,PKIG
FSD1,FSD1
ATP6V1D,ATP6V1D
CDC45,CDC45
EDEM1,EDEM1
MYLK,MYLK
USP6NL,USP6NL
NT5DC2,NT5DC2
CCP110,CCP110
STK10,STK10
UGDH,UGDH
SQRDL,SQOR
HEBP1,HEBP1
FGFR4,FGFR4
CDKN2A,CDKN2A
ATP11B,ATP11B
CD320,CD320
CDKN1B,CDKN1B
MLLT11,MLLT11
CEBPZ,CEBPZ
GAPDH,GAPDH
CBR3,CBR3
